City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,bathsheba,40,BB,1517954400,78,13.22,-59.52,77.0,18.34
88,egvekinot,12,RU,1517957606,43,66.32,-179.17,-14.99,2.62
89,cururupu,76,BR,1517957606,99,-1.82,-44.87,75.24,4.07
90,taoudenni,0,ML,1517957606,62,22.68,-3.98,41.09,3.4
91,ulaangom,0,MN,1517957607,41,49.98,92.07,-30.33,1.16
92,lavumisa,92,ZA,1517957607,87,-27.31,31.88,71.6,4.07
93,vaini,92,IN,1517957607,75,15.34,74.49,64.17,2.17
94,nishihara,1,JP,1517954400,49,35.74,139.53,33.8,4.97
95,taltal,24,CL,1517957608,85,-25.41,-70.49,63.41,3.18
96,dzhebariki-khaya,0,RU,1517957608,0,62.22,135.8,-47.03,2.51
97,castro,92,CL,1517957609,91,-42.48,-73.76,58.01,4.97
98,antofagasta,20,CL,1517954400,64,-23.65,-70.4,71.6,8.05
99,cochrane,20,CL,1517957610,54,-47.25,-72.57,58.91,3.62
100,kavaratti,68,IN,1517957610,100,10.57,72.64,82.17,6.64
101,atar,36,MR,1517957610,43,20.52,-13.05,51.57,8.21
102,pokrovsk,48,UA,1517957610,94,48.28,37.18,29.03,6.2
103,barrow,48,AR,1517957611,37,-38.31,-60.23,91.13,12.57
104,whitehorse,90,CA,1517954400,75,60.72,-135.06,-13.01,2.24
105,krasnovishersk,80,RU,1517957611,88,60.4,57.08,19.04,10.11
106,chokurdakh,0,RU,1517957612,49,70.62,147.9,-29.57,2.95
107,thompson,75,CA,1517954400,64,55.74,-97.86,-2.21,12.75
108,vavoua,0,CI,1517957612,65,7.38,-6.48,73.58,1.95
109,abu kamal,0,SY,1517957613,80,34.45,40.92,41.76,2.73
110,sisimiut,76,GL,1517957613,85,66.94,-53.67,5.45,2.95
111,lebu,0,ET,1517957613,71,8.96,38.73,28.22,2.51
112,san quintin,75,PH,1517954400,82,17.54,120.52,68.0,3.4
113,mount gambier,0,AU,1517957614,59,-37.83,140.78,79.43,3.18
114,hithadhoo,48,MV,1517957439,100,-0.6,73.08,81.77,6.98
115,cidreira,20,BR,1517957614,83,-30.17,-50.22,72.41,13.8
